year_month,place,city,state,temperature,pressure,dew_point,humidity,wind_speed,gust,wind_chill,uv_index,feels_like_temperature,visibility,pollutant_value
1998-07,Sepang,Sepang,Kuala Lumpur,27.945098039215686,1006.4466153846154,24.627450980392158,83.1921568627451,6.936936936936937,,27.861344537815125,0.0,31.503937007874015,8.887218045112782,
1998-07,Tanjung Aru,Kota Kinabalu,Sabah,27.705035971223023,1007.6150352112676,24.492805755395683,83.24820143884892,8.34108527131783,,27.730627306273064,0.0,31.327338129496404,8.828671328671328,
1998-08,Batu Maung,Bayan Lepas,Pulau Pinang,27.41949778434269,1009.4988235294117,24.21565731166913,83.25997045790251,8.837890625,46.0,27.417701863354036,0.0,30.496307237813884,8.792700729927008,
1998-08,Kota Sentosa,Kuching,Sarawak,26.16796267496112,1006.6604179566564,23.58475894245723,86.82426127527216,4.9743589743589745,39.0,26.156494522691705,0.0,27.89891135303266,8.608562691131498,
1998-08,Petaling,Shah Alam,Selangor,27.5,1004.7774999999999,24.75,85.25,6.333333333333333,,28.333333333333332,0.0,30.75,9.0,
1998-08,Sepang,Sepang,Kuala Lumpur,27.401587301587302,1007.682088607595,24.469841269841268,84.9220985691574,7.824399260628466,,27.31578947368421,0.0,30.481717011128776,8.767334360554699,
1998-08,Tanjung Aru,Kota Kinabalu,Sabah,27.81699346405229,1008.6472977346278,24.470588235294116,82.66503267973856,10.160493827160494,,27.80968280467446,0.0,31.44353518821604,8.751612903225807,
1998-09,Batu Maung,Bayan Lepas,Pulau Pinang,27.682027649769584,1009.2606896551724,24.474654377880185,83.29185867895545,7.705627705627705,,27.694041867954912,0.0,31.104454685099846,8.733333333333333,
1998-09,Kota Sentosa,Kuching,Sarawak,26.57057057057057,1006.205837037037,23.76126126126126,85.69369369369369,5.7386759581881535,,26.562594268476623,0.0,28.605105105105107,8.53834808259587,
1998-09,Sepang,Sepang,Kuala Lumpur,27.878930817610062,1007.3482423208192,24.39308176100629,82.44025157232704,7.623134328358209,,27.84007029876977,0.0,31.22012578616352,8.783076923076923,
1998-09,Tanjung Aru,Kota Kinabalu,Sabah,28.11717495987159,1008.4236363636363,24.113964686998393,79.61637239165329,8.003527336860671,54.0,28.104575163398692,0.0,31.770465489566615,8.88679245283019,
1998-10,Batu Maung,Bayan Lepas,Pulau Pinang,27.0875,1009.1072754946728,24.2515625,85.1296875,8.509174311926605,44.333333333333336,27.09001636661211,0.0,29.8671875,8.681203007518796,
1998-10,Kota Sentosa,Kuching,Sarawak,26.48489425981873,1006.0527586206896,23.664652567975832,85.6737160120846,5.7536764705882355,,26.486196319018404,0.0,28.39425981873112,8.586053412462908,
1998-10,Sepang,Sepang,Kuala Lumpur,28.204113924050635,1007.0351056338029,24.38607594936709,81.07911392405063,8.381481481481481,,28.272563176895307,0.0,31.731012658227847,8.808575803981624,
1998-10,Tanjung Aru,Kota Kinabalu,Sabah,27.85143769968051,1008.0847741935482,24.35303514376997,81.752,7.713248638838476,56.0,27.87704918032787,0.0,31.5856,8.86687306501548,
1998-11,Batu Maung,Bayan Lepas,Pulau Pinang,26.8336,1008.7636306729264,24.056,85.24719101123596,8.055066079295154,56.5,26.86088379705401,0.0,29.32371794871795,8.711180124223603,
1998-11,Bintulu,Bintulu,Sarawak,31.0,1010.4,24.0,66.0,9.0,,31.0,,36.0,9.0,
1998-11,Kota Sentosa,Kuching,Sarawak,26.05105105105105,1005.6082861400895,23.617117117117118,87.53453453453453,5.594771241830065,69.5,26.04538577912254,0.0,27.70870870870871,8.342465753424657,
1998-11,Sepang,Sepang,Kuala Lumpur,27.65560821484992,1006.7087162162163,24.562401263823066,84.06339144215531,8.11669658886894,,27.676419965576592,0.0,30.96513470681458,8.814241486068111,
1998-11,Tanjung Aru,Kota Kinabalu,Sabah,27.368,1007.6683147853736,24.1056,82.928,7.009345794392523,40.5,27.374193548387098,0.0,30.504,8.86320754716981,
