state,year_month,landings,temperature,pressure,dew_point,humidity,wind_speed,gust,wind_chill,uv_index,feels_like_temperature,visibility,pollutant_value
Selangor,2019-05,12616,29.993927669665126,1010.2263581111015,24.645433316647576,75.15172065861238,3.7709542051369978,19.494009667395556,30.01075687571276,1.5749999804272037,33.65850340136054,8.339699863574351,58.6024665794827
Selangor,2019-06,13330,30.257849332667977,1010.0234174605168,24.743916754420162,74.37055960737409,3.3065479966615197,22.89064933509045,30.27453282918564,1.4057157125823398,32.67827298050139,8.410041841004183,56.38225252829684
Selangor,2019-07,13827,30.086174850929854,1010.9937203657422,23.511568117773884,69.61001257074568,3.427634952277395,14.447629834687318,30.08719925163956,1.4084360275462124,32.2244623655914,8.302826379542395,67.21139541778257
Selangor,2019-08,14066,29.897786386076454,1011.0172309952286,23.16453096838287,68.85386935855988,3.461379928315412,14.061305256869774,29.897786386076454,1.5447468637992832,32.15456989247312,7.708333333333333,75.70945340501792
Selangor,2019-09,14002,29.53346317901411,1009.5672416407723,22.4685361984686,67.40978304811712,2.246100913619387,11.708947323497135,29.535232122375053,1.0944533977337902,32.56388888888889,5.253129346314325,113.27721662030598
Selangor,2019-10,13551,28.14093875050041,1008.8019081304438,23.454472894452753,77.79701721944808,2.845128406520209,10.772420886531739,28.14093875050041,1.9540694675034935,29.510752688172044,7.105691056910569,61.36046070460704
Selangor,2019-11,12570,28.116884339072143,1008.8528720816513,23.400230600130982,77.41332455915172,2.6684607200844437,13.108999967363264,28.11771458944769,1.3415671360769974,30.447222222222223,7.97768479776848,57.704531844275586
Selangor,2019-12,11998,28.105446732026337,1009.0270613021008,23.444087958045227,76.61803447282243,3.063578385757404,10.6563665371729,28.105446732026337,1.2234553023944643,30.204301075268816,8.05256064690027,54.9111734455353
Selangor,2020-01,11774,29.00466405003428,1009.1396550755732,23.54758562624183,74.0864444815033,3.236054083151684,10.562254306371878,29.00466405003428,1.329920310836757,32.55929919137466,8.364372469635628,56.559993584559265
Selangor,2020-02,13726,29.44514975748575,1012.4523258192703,22.81068959755364,69.04420441637737,5.573934029293851,4.926864821330235,29.446099391924626,2.3305323426772393,32.002877697841726,8.484892086330936,56.40704647676162
Selangor,2020-03,7265,29.4101645681019,1011.6215010897349,23.877323421677737,73.89901502516582,3.3706518019836165,12.77287190366154,29.4101645681019,2.304028799072949,33.42702702702703,8.450134770889488,58.901791406349616
Selangor,2020-04,9809,29.5045384346383,1012.0056583189065,24.374441023011606,75.67414837334677,3.019602851309689,13.47990288416827,29.5045384346383,2.2980338475623885,32.91784702549575,8.638386648122392,50.72983846618357
Selangor,2020-05,11401,29.693483676370686,1010.9078074719009,24.88776563172536,76.93018860133647,2.8639344756608893,1.2616448535594362,29.69433684602793,1.9825360987998348,34.62131837307153,8.767160161507402,54.68232356003491
Selangor,2020-06,15499,28.330630032381915,1011.9221742770281,23.93957004679268,78.68250562956223,2.2585613866311784,8.532713272375917,28.33130000475819,1.6855876762818902,32.375,8.754166666666666,58.89824832560536
Selangor,2020-07,15413,27.43876847880788,1011.4051627859156,23.619290062163405,81.40117933642577,2.203481489010829,1.0774981736509928,27.43876847880788,1.7449823891230936,30.600806451612904,8.759459459459459,60.16214247373667
Selangor,2020-08,15583,28.281432975118598,1011.0845681936501,22.930207218430557,74.12769437631027,1.9080758546428838,0.338013604678641,28.281432975118598,1.6055663362920654,32.741588156123825,8.92741935483871,66.43823562122527
Selangor,2020-09,13810,27.02724480443868,1011.4675828412159,23.174733512494893,81.14842348921842,1.9358547832563926,6.63815668189622,27.02724480443868,1.636174128754794,30.67361111111111,8.802777777777777,57.47416671963725
Selangor,2020-10,15449,28.271852847597668,1011.2187212144827,23.52477470299333,76.92820355636336,2.335244060141748,9.794358242593349,28.271852847597668,1.7595771680223775,31.843031123139376,8.88888888888889,60.358342438119735
Selangor,2020-11,15765,28.04382439857336,1011.5367680196985,23.852490864462215,79.31018699667743,2.844983626462897,1.1354194206451178,28.04453748485693,1.8939481924745687,30.45833333333333,8.916666666666666,58.21743033788827
Selangor,2020-12,15537,27.23246960266048,1010.6382153375164,23.523496053258352,81.51459297942323,2.145928311184813,1.9675849497819222,27.2344580961124,1.3934255199381589,29.58173076923077,8.51923076923077,61.33674506986799
Selangor,2021-01,16045,27.29547620173216,1010.9667099157781,22.951478957018733,78.75229337625572,2.375608524917677,2.2898685608263682,27.29547620173216,1.4066752102099191,27.616666666666667,8.175,63.88913043478261
Selangor,2021-02,13616,28.279219088364428,1011.1265340467497,23.534101658714707,78.01498642371409,3.1748743869380958,2.886406100242534,28.279219088364428,1.9431026754627634,31.27255639097744,8.898496240601503,72.5212215320911
Selangor,2021-03,11804,28.025655967845644,1010.945838953274,24.005731262047558,80.9067788141589,2.374602782955246,7.774931393327385,28.025655967845644,1.8500535756086003,30.690860215053764,8.59919028340081,67.27493099604044
Selangor,2021-04,13881,28.22542035817214,1011.4856673235248,24.451690219731095,81.92135846608471,2.527302728610293,8.555094347186108,28.226270554080656,1.8288284948188263,31.119444444444444,8.618384401114206,62.12945689823983
Selangor,2021-05,13187,28.30166878449429,1010.6240110372966,24.741674111553692,83.18450344947223,2.204657658469407,8.501020985012913,28.30166878449429,1.7406856449237609,31.704301075268816,8.52086137281292,67.32947124206832
Selangor,2021-06,14200,28.063027183450817,1011.6520658429682,24.064402605833706,81.0483407434294,2.043984678928107,1.8309756006548044,28.063243164784666,1.648775456220895,31.05,8.844228094575799,63.79079471622557
Selangor,2021-07,14782,28.039667514361177,1009.3210850924074,23.84360359058309,80.31126479044197,1.9685356392025894,2.0115901691339486,28.039667514361177,1.6551751966839057,31.12264150943396,8.929919137466307,67.06411154210541
Selangor,2021-08,13684,27.529527704682405,1009.9249559109464,23.879127017635824,82.4698128829877,1.821309938555261,5.338957704891836,27.529527704682405,1.6468749928160764,30.29609690444145,8.889487870619947,56.468561754069206
Selangor,2021-09,12987,27.72223839795292,1009.6079657052286,23.81712976122026,81.32189911865107,1.7301122640788769,5.533600738843222,27.72223839795292,1.8760852524257194,30.653685674547983,8.90631808278867,59.796647823300475
Selangor,2021-10,14085,28.37362684920708,1009.7358967736466,24.028805373787534,79.55383499344968,2.042328287393102,6.104724209282272,28.374203351224796,1.8359123480279076,31.850806451612904,8.9375,66.51514097915681
Selangor,2021-11,15432,27.341217621148743,1008.7883041963465,24.107624059348655,84.21929603907375,1.681188697176898,5.856405605819099,27.341217621148743,1.5608717951557454,30.426388888888887,8.805013927576601,59.56599514103616
Selangor,2021-12,13876,27.004825365791802,1010.8596319859047,24.19385218053338,86.09956071798663,1.5776984406216144,5.365860165171031,27.005029279121757,1.2400491059251715,30.17092866756393,8.557951482479785,63.1183248223478
Selangor,2022-01,14197,27.13404836976998,1010.6467598394745,23.66702323301647,83.30835660646272,1.6890167134413938,6.415512618816674,27.13404836976998,1.6908132158347873,30.085978835978835,8.756613756613756,66.16939164515294
Selangor,2022-02,14568,27.225303185386846,1010.1428167145682,23.62792300894091,81.98145144278216,1.6938242173518223,5.6766808447304635,27.225303185386846,1.7043055916250585,29.88684582743989,8.8005657708628,56.85735126523923
Selangor,2022-03,15909,27.6396367573733,1009.5383713257996,24.075025387956156,74.74486563498296,1.6913043629970446,4.938075495317875,27.640123341937578,1.9351393293783579,31.531994981179423,8.623425692695214,59.82932488171332
Selangor,2022-04,16727,27.63107261582049,1009.3529318079131,24.575616377161648,84.65732181386433,1.3527883979295634,6.290067409976589,27.63107261582049,1.832537089865365,31.9775429326288,8.859602649006623,63.514482964610885
Selangor,2022-05,15879,28.452050501390538,1009.4900491023022,24.681252914446514,81.85946762292859,1.4387217280760958,5.43556325887937,28.452228397012306,1.696364532303143,32.997412677878394,8.7720207253886,61.25536715537913
